Date,AAPL,ADBE,ADI,ADP,ADSK,ALGN,ALXN,AMAT,AMD,AMGN,AMZN,ANSS,ASML,ATVI,AVGO,BIDU,BIIB,BKNG,BMRN,CDNS,CDW,CERN,CHKP,CHTR,CMCSA,COST,CPRT,CSCO,CSGP,CSX,CTAS,CTSH,CTXS,DLTR,DXCM,EA,EBAY,EXC,EXPE,FAST,FB,FISV,FOX,FOXA,GILD,GOOG,GOOGL,IDXX,ILMN,INCY,INTC,INTU,ISRG,JD,KHC,KLAC,LBTYA,LBTYK,LRCX,LULU,MAR,MCHP,MDLZ,MELI,MNST,MSFT,MU,MXIM,NFLX,NTAP,NTES,NVDA,NXPI,ORLY,PAYX,PCAR,PEP,PYPL,QCOM,REGN,ROST,SBUX,SGEN,SIRI,SNPS,SPLK,SWKS,TCOM,TMUS,TSLA,TTWO,TXN,UAL,ULTA,VRSK,VRSN,VRTX,WBA,WDAY,WDC,XEL,XLNX,ZM
2018-05-25,183.561767578125,243.55999755859375,91.6454849243164,125.27840423583984,132.75,318.5400085449219,117.73999786376953,49.07808303833008,13.539999961853027,168.2772216796875,1610.1500244140625,162.32000732421875,196.91659545898438,70.4273452758789,231.0079345703125,243.8000030517578,286.2099914550781,2110.6201171875,92.48999786376953,42.2400016784668,78.82569885253906,59.310855865478516,97.05999755859375,270.20001220703125,30.421188354492188,194.6236572265625,54.25,40.776432037353516,380.8399963378906,62.99250411987305,177.07550048828125,73.88495635986328,104.39783477783203,95.18000030517578,88.0,131.85000610351562,37.20481872558594,38.109588623046875,115.47362518310547,24.69561767578125,184.9199981689453,71.7699966430664,,,62.75092697143555,1075.6600341796875,1084.0799560546875,203.6999969482422,266.2200012207031,68.43000030517578,52.86690902709961,193.9571990966797,456.55999755859375,36.869998931884766,52.60353469848633,108.89032745361328,28.700000762939453,27.799999237060547,192.87890625,106.18000030517578,134.55853271484375,92.66658020019531,37.8685417175293,314.70001220703125,49.65999984741211,95.61176300048828,61.349998474121094,55.395347595214844,351.2900085449219,63.30079650878906,219.14093017578125,247.77821350097656,114.28227233886719,268.2900085449219,61.821067810058594,58.52033615112305,94.3486099243164,80.95999908447266,55.65690231323242,293.739990234375,75.74974060058594,55.58324432373047,55.790000915527344,6.842321872711182,88.31999969482422,110.26000213623047,96.65796661376953,46.5,56.59000015258789,278.8500061035156,112.0199966430664,105.40693664550781,71.68000030517578,251.0500030517578,105.17496490478516,128.50999450683594,157.5,59.666107177734375,130.7899932861328,79.64066314697266,42.64955139160156,67.42806243896484,
2018-05-29,182.89987182617188,242.19000244140625,90.62774658203125,124.58800506591797,129.6199951171875,326.17999267578125,115.7300033569336,50.207313537597656,13.359999656677246,167.52194213867188,1612.8699951171875,161.58999633789062,191.531005859375,69.61919403076172,230.69381713867188,242.0500030517578,287.0899963378906,2076.030029296875,90.54000091552734,42.0099983215332,79.02107238769531,58.845794677734375,96.48999786376953,266.3599853515625,30.191232681274414,193.03416442871094,55.41999816894531,40.50307846069336,377.94000244140625,62.54450607299805,176.86007690429688,72.54922485351562,103.8491439819336,94.9000015258789,87.1500015258789,131.25,36.802764892578125,38.147071838378906,114.9150390625,24.69561767578125,185.74000549316406,71.62999725341797,,,62.70436096191406,1060.3199462890625,1068.0699462890625,205.25,266.32000732421875,67.05999755859375,52.75247573852539,193.57339477539062,454.6300048828125,36.529998779296875,52.266632080078125,108.25214385986328,28.469999313354492,27.469999313354492,191.20814514160156,105.68000030517578,131.2230987548828,92.10560607910156,37.62935256958008,297.7099914550781,49.290000915527344,95.27153778076172,62.619998931884766,55.10517501831055,349.7300109863281,63.1216926574707,220.8092041015625,247.09239196777344,113.78321075439453,269.1499938964844,61.54902267456055,57.49732208251953,95.09165954589844,80.7300033569336,54.61579895019531,296.5,75.65180206298828,54.921085357666016,55.540000915527344,6.871856689453125,87.77999877929688,108.41999816894531,95.76235961914062,45.52000045776367,56.619998931884766,283.760009765625,110.77999877929688,104.8211441040039,69.5199966430664,253.69000244140625,104.54054260253906,128.88999938964844,155.24000549316406,58.886592864990234,130.41000366210938,79.769775390625,42.706172943115234,66.1008071899414,
2018-05-30,182.51051330566406,247.39999389648438,91.1942138671875,125.25923919677734,129.3699951171875,331.45001220703125,116.4800033569336,49.79229736328125,13.819999694824219,170.1654510498047,1624.8900146484375,162.88999938964844,192.9998016357422,69.6684799194336,230.42588806152344,241.6300048828125,294.3999938964844,2098.0,90.5999984741211,42.15999984741211,79.519287109375,59.53844451904297,96.94999694824219,266.94000244140625,30.162487030029297,195.87953186035156,56.15999984741211,40.38997268676758,380.8599853515625,64.147216796875,179.33741760253906,73.79720306396484,104.45661926269531,96.3499984741211,87.48999786376953,131.3699951171875,37.11656188964844,38.62496566772461,115.6500244140625,24.780290603637695,187.6699981689453,72.75,,,63.039642333984375,1067.800048828125,1077.469970703125,209.0800018310547,272.3900146484375,67.87000274658203,53.095767974853516,197.90347290039062,459.6600036621094,35.79999923706055,53.577850341796875,108.59504699707031,28.709999084472656,27.899999618530273,192.68795776367188,105.62999725341797,132.9005889892578,94.3108139038086,37.96421813964844,302.2699890136719,51.959999084472656,96.18527221679688,62.56999969482422,55.34086990356445,353.5400085449219,64.31888580322266,217.65478515625,251.4658966064453,113.09825897216797,273.55999755859375,61.877357482910156,58.18537139892578,95.77827453613281,81.5999984741211,54.765869140625,300.8900146484375,77.27767181396484,55.16099548339844,56.779998779296875,7.009687900543213,87.5,111.5,96.08978271484375,45.13999938964844,56.33000183105469,291.7200012207031,110.62999725341797,105.68093872070312,69.80000305175781,253.47999572753906,106.14641571044922,130.74000549316406,156.63999938964844,59.675506591796875,131.77999877929688,79.80667114257812,43.04593276977539,65.8973617553711,
2018-05-31,181.89724731445312,249.27999877929688,93.3065185546875,124.67432403564453,129.10000610351562,331.95001220703125,116.12999725341797,49.010520935058594,13.729999542236328,169.58009338378906,1629.6199951171875,162.8000030517578,192.5591583251953,69.88529968261719,232.8927459716797,242.55999755859375,293.9599914550781,2108.919921875,90.33999633789062,42.45000076293945,78.20048522949219,59.0535888671875,97.36000061035156,261.0400085449219,29.875043869018555,194.5059051513672,54.83000183105469,40.25800323486328,381.2200012207031,63.17972946166992,178.45616149902344,73.46571350097656,103.48661804199219,82.58999633789062,87.98999786376953,130.91000366210938,36.98908233642578,38.78425979614258,118.60963439941406,25.03900718688965,191.77999877929688,72.5999984741211,,,62.76955795288086,1084.989990234375,1100.0,208.2100067138672,272.44000244140625,68.2699966430664,52.63804626464844,198.39552307128906,459.6700134277344,35.18000030517578,52.3394775390625,107.85209655761719,28.510000228881836,27.68000030517578,189.20326232910156,105.05000305175781,132.01307678222656,94.18505859375,37.57194900512695,290.8299865722656,51.15999984741211,96.07835388183594,57.59000015258789,55.29372787475586,351.6000061035156,64.40373229980469,219.13282775878906,250.67066955566406,111.55217742919922,269.4100036621094,61.520877838134766,56.338504791259766,95.15937805175781,82.06999969482422,54.512630462646484,300.32000732421875,77.25806427001953,54.38367462158203,60.4900016784668,6.989997863769531,88.06999969482422,110.80999755859375,94.96305847167969,45.09000015258789,55.70000076293945,284.7300109863281,112.08000183105469,105.73764038085938,69.58999633789062,246.91000366210938,105.3137435913086,130.44000244140625,154.0,58.59543991088867,130.9600067138672,77.02133178710938,42.96099853515625,65.98455810546875,
2018-06-01,185.1775665283203,251.30999755859375,94.47789764404297,127.27288055419922,133.52000427246094,333.0899963378906,119.01000213623047,50.41965103149414,14.399999618530273,173.309326171875,1641.5400390625,165.8000030517578,197.9545440673828,71.97466278076172,236.83787536621094,248.4600067138672,297.0899963378906,2128.93994140625,91.91999816894531,43.209999084472656,79.12853240966797,59.103065490722656,99.04000091552734,261.8699951171875,29.951696395874023,193.41683959960938,55.56999969482422,41.15346908569336,385.44000244140625,63.95176315307617,180.7180633544922,74.94770050048828,104.68196105957031,81.27999877929688,92.19999694824219,135.69000244140625,37.59707260131836,38.409446716308594,117.61983489990234,25.22715950012207,193.99000549316406,73.33000183105469,,,63.60771942138672,1119.5,1135.0,215.36000061035156,276.3299865722656,67.91000366210938,54.43079376220703,200.8361053466797,479.25,36.09000015258789,52.49427795410156,110.33812713623047,29.40999984741211,28.420000076293945,193.49945068359375,122.19000244140625,134.91937255859375,97.73467254638672,37.84940719604492,296.6600036621094,51.5,97.97386932373047,58.7400016784668,56.651329040527344,359.92999267578125,65.71405792236328,223.1254119873047,256.0679626464844,111.55217742919922,272.4800109863281,62.36517333984375,57.008445739746094,95.15937805175781,83.25,54.97221374511719,306.8800048828125,79.05044555664062,54.61399459838867,61.619998931884766,6.96046257019043,89.45999908447266,113.94999694824219,97.23577880859375,45.09000015258789,56.869998931884766,291.82000732421875,114.58999633789062,108.4682388305664,69.25,245.14999389648438,106.33476257324219,132.57000732421875,152.0500030517578,59.036861419677734,126.29000091552734,79.19796752929688,42.2248420715332,68.17402648925781,
2018-06-04,186.72528076171875,253.33999633789062,95.99492645263672,128.7304229736328,135.57000732421875,343.20001220703125,119.77999877929688,50.4679069519043,14.850000381469727,175.0747833251953,1665.27001953125,168.08999633789062,199.67791748046875,71.73812866210938,238.71343994140625,260.8999938964844,298.9100036621094,2125.800048828125,92.06999969482422,43.41999816894531,79.48020935058594,59.12285614013672,98.6500015258789,267.9800109863281,29.980440139770508,194.87876892089844,56.11000061035156,41.07806396484375,391.0400085449219,63.21881866455078,182.92123413085938,75.28894805908203,105.42662811279297,81.20999908447266,93.45999908447266,134.66000366210938,38.312923431396484,37.9877815246582,116.50261688232422,25.151901245117188,193.27999877929688,74.26000213623047,,,65.3864974975586,1139.2900390625,1153.0400390625,218.80999755859375,280.260009765625,68.04000091552734,54.19239807128906,203.70968627929688,477.92999267578125,38.15999984741211,53.195411682128906,110.71913146972656,29.309999465942383,28.399999618530273,195.32290649414062,124.9800033569336,135.26072692871094,98.0828628540039,38.05989074707031,307.6499938964844,51.790000915527344,98.82928466796875,59.099998474121094,57.3489875793457,361.80999755859375,67.18462371826172,227.85704040527344,263.25439453125,108.32303619384766,277.7200012207031,62.693504333496094,57.108036041259766,95.0359878540039,84.56999969482422,55.06600570678711,312.0899963378906,81.43048095703125,54.76753616333008,61.5099983215332,6.989997863769531,89.68000030517578,115.80000305175781,96.63871002197266,46.40999984741211,57.119998931884766,296.739990234375,113.68000030517578,109.35639190673828,69.9800033569336,256.6000061035156,107.0782241821289,134.8699951171875,149.64999389648438,59.450096130371094,128.14999389648438,78.2572021484375,41.658573150634766,68.13528442382812,
2018-06-05,188.16587829589844,252.6999969482422,96.62860870361328,128.5578155517578,136.8000030517578,346.0799865722656,119.27999877929688,51.06630325317383,14.850000381469727,171.57215881347656,1696.3499755859375,170.02000427246094,204.96559143066406,71.71841430664062,239.5357666015625,259.9800109863281,298.6400146484375,2140.989990234375,92.12999725341797,43.689998626708984,82.26435852050781,59.75613784790039,98.37000274658203,265.95001220703125,29.77923011779785,194.1134490966797,57.290000915527344,41.16289138793945,396.4100036621094,63.21881866455078,185.8783721923828,75.10369873046875,106.57298278808594,82.94999694824219,94.43000030517578,136.9600067138672,39.264122009277344,37.88469696044922,117.7766342163086,25.523509979248047,192.94000244140625,74.68000030517578,,,65.2468032836914,1139.6600341796875,1151.02001953125,217.4499969482422,279.1000061035156,68.41000366210938,53.90632247924805,204.9201202392578,492.3699951171875,38.869998931884766,52.74011993408203,112.51936340332031,28.190000534057617,27.260000228881836,193.73916625976562,124.05000305175781,134.8023681640625,98.7889175415039,37.56237030029297,307.0199890136719,51.36000061035156,99.33475494384766,59.40999984741211,57.84864807128906,365.79998779296875,68.6740493774414,228.7592315673828,263.47314453125,113.86150360107422,275.82000732421875,62.94679260253906,58.3121223449707,95.12141418457031,85.05000305175781,55.319244384765625,311.8500061035156,82.1650619506836,53.43362045288086,63.04999923706055,6.950617790222168,90.30000305175781,116.52999877929688,95.82976531982422,46.59000015258789,57.15999984741211,291.1300048828125,113.26000213623047,111.17048645019531,69.31999969482422,253.92999267578125,108.06949615478516,135.8300018310547,145.72000122070312,59.065032958984375,128.7100067138672,79.22561645507812,40.88467788696289,68.22245788574219,
2018-06-06,188.81805419921875,253.9499969482422,98.03042602539062,130.50436401367188,137.92999267578125,346.3699951171875,120.61000061035156,50.699546813964844,15.670000076293945,173.29043579101562,1695.75,171.5399932861328,209.16635131835938,73.709228515625,243.47164916992188,263.94000244140625,303.75,2153.780029296875,92.23999786376953,44.119998931884766,83.08495330810547,60.66648483276367,98.83000183105469,275.0899963378906,30.919422149658203,193.93682861328125,57.150001525878906,41.71902084350586,401.29998779296875,63.84426498413086,186.95545959472656,76.1859359741211,107.01390838623047,81.58999633789062,94.19000244140625,136.94000244140625,39.175865173339844,37.21002960205078,119.9620361328125,24.502758026123047,191.33999633789062,76.05999755859375,,,67.02558898925781,1136.8800048828125,1146.949951171875,219.50999450683594,285.25,68.55000305175781,54.383113861083984,206.16993713378906,493.3800048828125,40.400001525878906,52.74011993408203,111.85260772705078,28.989999771118164,28.09000015258789,191.59864807128906,124.19000244140625,138.0695343017578,99.92051696777344,37.782432556152344,315.0,53.20000076293945,99.6263656616211,59.41999816894531,57.87693405151367,367.45001220703125,70.61597442626953,228.35610961914062,263.5525817871094,112.06100463867188,279.1300048828125,63.85676574707031,59.289878845214844,95.7099380493164,85.20999908447266,56.12587356567383,315.1300048828125,82.76252746582031,54.86349868774414,65.36000061035156,7.0392231941223145,91.43000030517578,117.80999755859375,96.60018920898438,48.02000045776367,57.599998474121094,319.5,112.58999633789062,111.59566497802734,70.36000061035156,255.85000610351562,108.46601867675781,137.11000061035156,145.97000122070312,59.30921936035156,128.30999755859375,78.13729858398438,39.96920394897461,68.45498657226562,
2018-06-07,188.31190490722656,247.50999450683594,98.35840606689453,129.70440673828125,134.13999938964844,339.32000732421875,118.61000061035156,49.464149475097656,14.890000343322754,173.0543975830078,1689.300048828125,170.8699951171875,203.24220275878906,72.88136291503906,244.54339599609375,264.8900146484375,305.3699951171875,2131.97998046875,91.01000213623047,44.08000183105469,82.7137222290039,59.61760711669922,98.0199966430664,278.19000244140625,30.660724639892578,198.7543487548828,57.06999969482422,41.144046783447266,399.30999755859375,64.25470733642578,185.1342010498047,74.80144500732422,106.0634994506836,81.95999908447266,89.48999786376953,136.91000366210938,39.66618347167969,37.61296081542969,117.93344116210938,24.902589797973633,188.17999267578125,75.06999969482422,,,66.96041107177734,1123.8599853515625,1134.4200439453125,218.0399932861328,280.7099914550781,69.0199966430664,53.2864875793457,202.98143005371094,485.3399963378906,39.5,52.512481689453125,110.42385864257812,29.31999969482422,28.5,181.25131225585938,122.69999694824219,135.99220275878906,98.86627960205078,37.61977767944336,288.8500061035156,52.83000183105469,98.06136322021484,59.630001068115234,57.641239166259766,361.3999938964844,69.75812530517578,229.98770141601562,261.316162109375,117.49185180664062,282.760009765625,63.44398498535156,58.82815170288086,96.0231704711914,83.2699966430664,56.87621307373047,308.7200012207031,83.34037780761719,54.834716796875,65.58999633789062,7.068758010864258,90.12000274658203,114.6500015258789,98.69954681396484,48.06999969482422,57.81999969482422,316.0899963378906,113.41999816894531,110.7736587524414,69.54000091552734,256.9200134277344,108.1587142944336,136.5399932861328,145.75,59.73185348510742,123.37000274658203,76.18202209472656,40.31840515136719,68.48405456542969,
2018-06-08,186.59873962402344,251.2100067138672,97.49019622802734,130.44650268554688,135.1300048828125,346.6700134277344,118.33000183105469,49.36763381958008,15.25,173.99851989746094,1683.989990234375,172.22999572753906,203.13449096679688,73.21646118164062,238.3438720703125,263.5899963378906,303.2900085449219,2136.5400390625,90.63999938964844,44.06999969482422,82.75281524658203,60.05298614501953,99.0999984741211,277.260009765625,30.73737907409668,199.9219207763672,57.630001068115234,40.98379898071289,401.8500061035156,65.54468536376953,187.4940185546875,75.18169403076172,105.75975799560547,82.62999725341797,93.0,137.8699951171875,39.509281158447266,37.481773376464844,118.4724349975586,24.84614372253418,189.10000610351562,75.47000122070312,,,66.96971893310547,1120.8699951171875,1132.7099609375,219.72000122070312,282.0299987792969,70.01000213623047,52.4950065612793,202.98143005371094,484.6000061035156,39.91999816894531,53.240936279296875,108.77600860595703,29.3700008392334,28.350000381469727,180.48341369628906,122.0199966430664,134.95840454101562,98.79856872558594,38.05989074707031,288.79998779296875,55.47999954223633,98.79039764404297,61.38999938964844,57.273555755615234,360.57000732421875,70.08806610107422,233.77879333496094,260.69989013671875,117.58968353271484,283.1300048828125,63.9505729675293,59.08164596557617,97.28562927246094,84.33999633789062,56.519798278808594,308.1000061035156,84.07495880126953,54.31650161743164,65.01000213623047,7.1278276443481445,90.51000213623047,116.75,96.1186752319336,48.88999938964844,57.79999923706055,317.6600036621094,113.41999816894531,109.35639190673828,69.98999786376953,253.05999755859375,108.1091537475586,137.8699951171875,150.5500030517578,59.54401397705078,123.9000015258789,76.20047760009766,40.31840515136719,67.36993408203125,
